"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"April 16, 2017",California,Vallejo,"110 Calhoun Street",0,4,N/A
"April 16, 2017","North Carolina","Elizabeth City","611 S Martin St",0,4,N/A
"April 16, 2017",Ohio,Columbus,"1710 Cleveland Av",0,9,N/A
"April 15, 2017",Illinois,"Rock Falls","311 W  2nd St",0,4,N/A
"April 15, 2017",Indiana,Indianapolis,"300 block of S Meridian St",0,4,N/A
"April 15, 2017",Alabama,Birmingham,"1480 Center Point Pkwy",0,6,N/A
"April 15, 2017",Pennsylvania,Philadelphia,"5900 block of Hammond Street",0,4,N/A
"April 15, 2017",Illinois,Harvey,"14600 block of Myrtle Avenue",0,4,N/A
"April 15, 2017",California,Banning,"900 block of N Allen St",0,4,N/A
"April 13, 2017",Georgia,Atlanta,"30 Anderson Ave SW",1,3,N/A
"April 9, 2017",Texas,"San Antonio","3100 block of Fidelia Drive",1,3,N/A
"April 9, 2017",Indiana,"Fort Wayne","9439 Lima Rd",1,3,N/A
"April 7, 2017",Texas,Houston,"3829 Mount Pleasant St",5,0,N/A
"April 7, 2017",Minnesota,"Saint Paul","1600 block of English St",4,1,N/A
"April 7, 2017","North Carolina",Hickory,"1423 29th Ave Dr NE",3,1,N/A
"April 7, 2017",Illinois,Chicago,"5600 block of W Lake St",1,5,N/A
"April 6, 2017",Louisiana,"Lake Charles","2000 block of Tulip St",1,3,N/A
"April 3, 2017",Pennsylvania,Philadelphia,"1100 block of W Stiles St",3,1,N/A
"April 3, 2017",Texas,Lubbock,"5401 Ave Q",0,7,N/A
"April 2, 2017",Illinois,Chicago,"3500 block of West Van Buren Street",2,4,N/A
"April 2, 2017",Iowa,"Des Moines","2500 Martin Luther King Jr. Parkway",0,5,N/A
"April 1, 2017",California,Pittsburg,"100 block of Madoline Street",0,5,N/A
"April 1, 2017",Florida,Tampa,"219 S Howard Ave",1,4,N/A
"April 1, 2017",Oklahoma,"Oklahoma City","1200 block of N Woodward Avenue",2,3,N/A
"March 30, 2017",Illinois,Chicago,"2704 E 75th St",4,0,N/A
"March 27, 2017",Florida,Sanford,"209 Hays Dr",2,4,N/A
"March 26, 2017",Texas,Houston,"5619 Aldine Bender Rd",2,4,N/A
"March 26, 2017",Ohio,Cincinnati,"4601 Kellogg Ave",2,15,N/A
"March 26, 2017",Ohio,Cleveland,"E 75th St",2,2,N/A
"March 25, 2017",Michigan,Detroit,"8443 Grand River Ave",1,3,N/A
"March 25, 2017",Tennessee,Knoxville,"Minnesota Avenue",1,4,N/A
"March 25, 2017",Ohio,Cleveland,"E 79th St and Woodland Ave",2,2,N/A
"March 24, 2017",California,Fresno,"300 block of South Villa Avenue",1,4,N/A
"March 24, 2017",Missouri,"Saint Louis","5100 block of Palm St",1,6,N/A
"March 22, 2017",Wisconsin,Rothschild,"1133 E Grand Ave",5,0,N/A
"March 19, 2017",Kentucky,Louisville,"1512 Portland Avenue",1,5,N/A
"March 18, 2017",Michigan,Detroit,"16000 block of Rutherford",3,2,N/A
"March 15, 2017",Louisiana,Metairie,"2508 Pasadena Ave",3,1,N/A
"March 10, 2017",Illinois,Chicago,"123 E 51st St",2,2,N/A
"March 10, 2017",Louisiana,"New Orleans (Gentilly)","4200 block of Touro St",3,1,N/A
"March 7, 2017",Illinois,Chicago,"West 76th Street and South May streets",0,4,N/A
"March 5, 2017",Georgia,Columbus,"600 block of 32nd Street",0,4,N/A
"March 4, 2017",Kansas,Topeka,"23rd and Bellview",1,4,N/A
"March 4, 2017",California,Sacramento,"2500 block of 33rd St",0,4,N/A
"March 3, 2017",Pennsylvania,Philadelphia,"7165 Germantown Ave",0,4,N/A
"March 3, 2017",California,Riverside,"8300 block of Trey Ave",0,5,N/A
"February 28, 2017",Ohio,Cincinnati,"1700 of Casey Drive",0,6,N/A
"February 27, 2017",Virginia,"Newport News","11810 Fountain Way",0,4,N/A
"February 26, 2017",Indiana,Gary,"1700 block of Grant St",1,4,N/A
"February 25, 2017",Ohio,Warren,"1564 Niles Cortland Rd SE",2,3,N/A
"February 25, 2017",Florida,Jacksonville,"3604 Moncrief Rd",1,4,N/A
"February 22, 2017","New York",Rochester,"191 Genesee St",0,4,N/A
"February 21, 2017",Ohio,Cleveland,"16700 Lorain Ave",0,4,N/A
"February 21, 2017",Mississippi,Toomsuba,"Butts Road",4,0,N/A
"February 20, 2017",Ohio,Cleveland,"1082 East 105th Street",0,5,N/A
"February 19, 2017",Virginia,Norfolk,"Church Street and East Virginia Beach Blvd",1,3,N/A
"February 18, 2017",Pennsylvania,Philadelphia,"1 block of N Conestoga",0,4,N/A
"February 18, 2017",Indiana,"South Bend","1000 block of Yukon St",1,3,N/A
"February 15, 2017",California,Salinas,"30 Soledad Street",0,4,N/A
"February 15, 2017",Illinois,Chicago,"3949 South Albany Avenue",3,2,N/A
"February 12, 2017",Missouri,Caruthersville,"908 Truman Blvd",1,6,N/A
"February 12, 2017","New York",Newburgh,"253 South William Street",1,3,N/A
"February 12, 2017",Florida,Greenville,"Church Ave and Obadiah St",0,5,N/A
"February 11, 2017",Tennessee,Savannah,"Clifton Road and Midway Drive",0,4,N/A
"February 11, 2017",Illinois,Chicago,"100 block of North Mayfield",1,3,N/A
"February 10, 2017",Louisiana,"New Orleans","2nd St and Dryades St",1,5,N/A
"February 9, 2017",Mississippi,Jackson,"3150 Robinson Road",4,0,N/A
"February 8, 2017",Ohio,Cleveland,"16379 Euclid Ave",1,4,N/A
"February 7, 2017","South Carolina",Columbia,"5500 block of Fairfield Road",0,4,N/A
"February 7, 2017",Arkansas,"Little Rock","25 Par Drive",1,4,N/A
"February 6, 2017",Mississippi,"Yazoo City","11th Street",4,0,N/A
"January 31, 2017",Tennessee,Memphis,"1576 S White Station Rd",0,4,N/A
"January 31, 2017","District of Columbia",Washington,"2900 block of Martin Luther King Jr Ave",0,4,N/A
"January 30, 2017",Minnesota,"Minneapolis (Crystal)","5410 Lakeland Ave N",0,4,N/A
"January 29, 2017",Louisiana,Shreveport,"6300 Block of Hearne Ave",1,4,N/A
"January 27, 2017",Tennessee,Brownsville,"221 Morgan St",0,10,N/A
"January 26, 2017",Georgia,Albany,"1510 Maryland Drive",2,3,N/A
"January 25, 2017",Illinois,Chicago,"500 block of E 75th St",0,6,N/A
"January 22, 2017",Illinois,"Chicago (Englewood)","1800 block of W 63rd",0,4,N/A
"January 22, 2017",Georgia,Atlanta,"2841 Greenbriar Pkwy SW",3,1,N/A
"January 22, 2017",Texas,Manvel,"200 block of Oak Shore Dr",3,2,N/A
"January 21, 2017",Georgia,Jonesboro,"6510 Tara Blvd",0,6,N/A
"January 21, 2017",Florida,"Boynton Beach","500 NE 2nd St",0,5,N/A
"January 21, 2017",Tennessee,Memphis,"500 block of Delta Road",2,2,N/A
"January 20, 2017",Mississippi,Como,"Smart Road",1,4,N/A
"January 20, 2017",California,Fresno,"4700 block of E Montecito Ave",0,4,N/A
"January 16, 2017",Texas,Houston,"8535 Martin Luther King Boulevard",0,4,N/A
"January 16, 2017",Florida,Miami,"6011 NW 32nd Ave",0,8,N/A
"January 15, 2017",Colorado,Capulin,"County Road Y",3,1,N/A
"January 15, 2017",Mississippi,Magnolia,"6000 block of Church Road",1,4,N/A
"January 12, 2017",Missouri,"Kansas City","8607 E 61st Terrace",3,2,N/A
"January 12, 2017",California,Salinas,"500 block of Sunrise St",2,2,N/A
"January 11, 2017","New Jersey",Newark,"Hawkins Street and Christie Street",1,3,N/A
"January 11, 2017",Illinois,Chicago,"4200 block of S Talman",1,3,N/A
"January 7, 2017",Michigan,Flint,"2500 block of Churchill Ave",1,3,N/A
"January 6, 2017",California,Pasadena,"100 block of W Claremont St",2,2,N/A
"January 6, 2017",Florida,"Fort Lauderdale","100 Terminal Dr",5,6,N/A
"January 4, 2017",California,Fontana,"14520 Village Drive",3,1,N/A
"January 3, 2017",Texas,Allen,"500 block of Hawthorne Drive",0,4,N/A
"January 1, 2017",Mississippi,Winstonville,"114 North Greyer Street",0,5,N/A
"January 1, 2017",Texas,Dallas,"9220 Skillman Street",1,3,N/A
"January 1, 2017",Florida,Miami,"8000 block of NW 14th Ave",0,7,N/A
"December 31, 2016",Texas,Houston,"3704 Fannin Street",1,3,N/A
"December 31, 2016",Georgia,"Lenox (El Dorado)","Briarwood Court",2,2,N/A
"December 30, 2016",Ohio,Mansfield,"3230 Possum Run Rd",0,5,N/A
"December 30, 2016",Connecticut,Wallingford,"95 S Turnpike Road",2,2,N/A
"December 28, 2016",Georgia,Columbus,"2914 10th Street",1,4,N/A
"December 25, 2016",Alabama,Ozark,"858 US-231",0,4,N/A
"December 25, 2016",Illinois,Chicago,"8600 block of South Maryland Avenue",3,4,N/A
"December 25, 2016","New York","Mount Vernon","4 North 3rd Avenue",1,5,N/A
"December 24, 2016","North Carolina",Madison,"490 K Ford Rd",0,7,N/A
"December 24, 2016","North Carolina",Wilson,"2241 Banks Lane East",4,0,N/A
"December 23, 2016",Alabama,Birmingham,"3813 Richard Arrington Boulevard North",1,3,N/A
"December 23, 2016",Illinois,Chicago,"4900 block of West Hubbard",0,4,N/A
"December 17, 2016","North Carolina",Charlotte,"4115 N. Tryon Street",0,4,N/A
"December 17, 2016",Illinois,"Chicago (Roseland)","100 block of West 105th Street",4,1,N/A
"December 16, 2016",Illinois,Chicago,"4300 block of South Rockwell",2,2,N/A
"December 16, 2016",Illinois,Chicago,"13th and South Kedzie",0,4,N/A
"December 12, 2016",California,Sacramento,"4800 block of Myrtle Avenue",1,3,N/A
"December 11, 2016",Florida,"Orlando (Pine Hills)","4305 N Pine Hills Rd",1,4,N/A
"December 11, 2016",Maryland,Baltimore,"3916 South Hanover Street",0,5,N/A
"December 11, 2016","New York",Brooklyn,"Knickerbocker Ave.",0,4,N/A
"December 11, 2016","North Carolina","Rocky Mount","1200 block of East Highland Ave",0,4,N/A
"December 9, 2016",Texas,Channelview,"15300 block of Market",4,0,N/A
"December 9, 2016",California,Fresno,"842 Fresno Street",0,4,N/A
"December 5, 2016","New Mexico",Albuquerque,"1532 Stagecoach Lane",4,1,N/A
"December 3, 2016",California,"Los Angeles","91st Street and Western Avenue",0,6,N/A
"December 2, 2016","New Jersey",Bloomfield,"3 1st Ave",0,6,N/A
"December 1, 2016",California,"Clearlake Oaks",N/A,1,3,N/A
"November 30, 2016",Maryland,Baltimore,"2901 Garrison Blvd",2,4,N/A
"November 28, 2016",Texas,"Mission (Palmview)","1840 West Palma Vista Drive",1,3,N/A
"November 28, 2016",California,Wilmington,"1067 McDonald Avenue",0,4,N/A
"November 28, 2016",California,"San Pedro","300 block of West 2nd Street",0,4,N/A
"November 27, 2016",Louisiana,"New Orleans","100 block of Bourbon Street",1,9,N/A
"November 27, 2016",Missouri,"Kansas City","Gregory and Prospect",0,7,N/A
"November 26, 2016",Illinois,Chicago,"8800 block of South Exchange Avenue",1,5,N/A
"November 25, 2016",Louisiana,"New Orleans","Magnolia Street and Felicity Street",0,4,N/A
"November 24, 2016",Kentucky,Louisville,"4501 W Broadway",2,5,N/A
"November 24, 2016","New York",Albany,"77 Central Avenue",1,3,N/A
"November 23, 2016",Mississippi,"Olive Branch","928 Cross Road",0,4,N/A
"November 22, 2016",Florida,Clewiston,"1068 Harlem Academy Avenue",1,4,N/A
"November 18, 2016",Illinois,Chicago,"5000 block of West Wabansia",0,4,N/A
"November 17, 2016",Tennessee,Dyersburg,"160 Longfellow",1,7,N/A
"November 13, 2016",Florida,Jacksonville,"5105 Cleveland Rd",3,2,N/A
"November 13, 2016",California,"San Diego","3800 block of Marlborough Avenue",3,2,N/A
"November 13, 2016",Florida,Orlando,"Conley Street and South Ivey Lane",0,4,N/A
"November 13, 2016",Texas,"San Antonio","8000 Midcrown",0,4,N/A
"November 12, 2016",California,Sacramento,"8600 block of Ardith Drive",1,5,N/A
"November 12, 2016",Missouri,"Kansas City","21st Street and Cleveland Avenue",1,3,N/A
"November 12, 2016",Connecticut,Bridgeport,"2500 Park Avenue",0,5,N/A
"November 11, 2016",Texas,Houston,"7705 Channelside Street",0,4,N/A
"November 10, 2016",Texas,Houston,N/A,1,3,N/A
"November 9, 2016",Washington,Seattle,"1524 3rd Ave",0,5,N/A
"November 9, 2016",Illinois,Chicago,"3400 block of West Monroe",1,3,N/A
"November 9, 2016",Tennessee,Memphis,"1800 block of East Brooks Road",0,4,N/A
"November 5, 2016",Florida,"Fort Lauderdale (Lauderhill)","3135 West Broward Boulevard",1,3,N/A
"November 5, 2016","South Carolina","Myrtle Beach","803 Main Street",0,5,N/A
"November 5, 2016",California,Oakland,"420 14th Street",0,8,N/A
"November 5, 2016",Illinois,Chicago,"4800 block of North Winthrop",0,5,N/A
"November 5, 2016",Texas,"San Antonio","10726 Perrin Beitel Road",0,4,N/A
"November 4, 2016",Pennsylvania,Philadelphia,"5451 Springfield Avenue",0,4,N/A
"November 3, 2016",Illinois,Chicago,"8000 block of South Shore Drive",2,2,N/A
"November 3, 2016","New Jersey",Orange,"234 Cleveland Street",2,2,N/A
"November 2, 2016",Arkansas,"Little Rock","2111 Bragg Street",1,4,N/A
"November 1, 2016",Tennessee,Memphis,"5200 block of Zodiac Rd",1,5,N/A
"October 31, 2016",Louisiana,Shreveport,"700 Block of  Central Street",0,4,N/A
"October 30, 2016",Ohio,Toledo,"742 Junction Avenue",0,4,N/A
"October 30, 2016","New York","New York (Manhattan)","135 Ridge Street",0,4,N/A
"October 30, 2016","New York",Newburgh,"119 First Street",2,5,N/A
"October 30, 2016",Maryland,"Capitol Heights","6860 Walker Mill Road",3,3,N/A
"October 30, 2016",Texas,"San Antonio","2900 block of Aspen Meadow",0,5,N/A
"October 29, 2016",Ohio,Dayton,"2010 Cornell Ridge Drive",1,3,N/A
"October 29, 2016",California,"Los Angeles","1600 block of Century Boulevard",0,5,N/A
"October 29, 2016",California,Riverside,"3500 block of Madison Street",0,4,N/A
"October 28, 2016",Florida,"Miami Gardens","Northwest 173rd Terrace and 27th Avenue",0,4,N/A
"October 28, 2016",Mississippi,Jackson,"200 block of Lorenz Boulevard",0,6,N/A
"October 27, 2016",Georgia,Jackson,"600 block of Moccasin Gap Road",4,0,N/A
"October 25, 2016",Ohio,Dayton,"3300 block of Riverside Drive",1,3,N/A
"October 25, 2016",Virginia,Roanoke,"830 Campbell Avenue Southeast",2,3,N/A
"October 23, 2016",Oklahoma,Wellston,"Highway 66 and S. 3310 Road",1,5,N/A
"October 22, 2016",California,Oakland,"77th and Bancroft Avenues",0,7,N/A
"October 18, 2016",California,"San Francisco","325 La Grande Avenue",0,4,N/A
"October 17, 2016",Illinois,"Chicago (Englewood)","6700 block of South Winchester",1,4,N/A
"October 15, 2016",Alabama,Mobile,"1800 block of St Stephens Road",0,5,N/A
"October 15, 2016",California,"Los Angeles","2918 Rimpau Boulevard",4,11,N/A
"October 15, 2016",Illinois,Rockford,"7801 East State Street",1,5,N/A
"October 14, 2016",Illinois,Chicago,"3300 block of Maypole",1,6,N/A
"October 13, 2016",Illinois,Chicago,"2700 block of West Lexington",0,4,N/A
"October 9, 2016",Michigan,"Grand Rapids","1850 28th Street SE",1,8,N/A
"October 9, 2016",California,Sacramento,"1696 Arden Way",1,3,N/A
"October 8, 2016","New York",Brooklyn,"7301 3rd Avenue",0,4,N/A
"October 4, 2016",Louisiana,"New Orleans","3727 Ulloa Street",3,2,N/A
"October 3, 2016",Minnesota,Minneapolis,"Fourth Street and Hennepin Avenue",0,4,N/A
"October 2, 2016",Texas,"San Antonio","2600 South Flores Street",1,4,N/A
"October 1, 2016",Illinois,"Pembroke Township","17250E Road",4,0,N/A
"October 1, 2016",California,Fresno,"3200 block of East Clay Avenue",0,4,N/A
"September 29, 2016",California,"San Francisco","400 block of Ellis Street",1,3,N/A
"September 26, 2016",Texas,Humble,"21219 Grand Linden Court",0,4,N/A
"September 26, 2016",Texas,Houston,"5450 Weslayan St",1,6,N/A
"September 26, 2016","North Carolina","Winston Salem (Winston-salem)","100 block of 5 Royales Dr",0,4,N/A
"September 25, 2016",Illinois,Champaign,"300 block of E. Green Street",1,3,N/A
"September 24, 2016",Maryland,Baltimore,"Greenmount Avenue and Preston Street",0,8,N/A
"September 23, 2016",Washington,Burlington,"201 Cascade Mall Dr",5,0,N/A
"September 18, 2016",Pennsylvania,Philadelphia,"3001 Castor Avenue",0,4,N/A
"September 18, 2016",Virginia,Lynchburg,"421 Rivermont Ave",1,3,N/A
"September 18, 2016",Pennsylvania,Pittsburgh,"1700 block of Brighton Place",0,4,N/A
"September 17, 2016",Florida,Miami,"20582 Southwest 119th Avenue",0,6,N/A
"September 17, 2016",Indiana,Indianapolis,"2016 West 76th Street",2,2,N/A
"September 17, 2016",Florida,Orlando,"3918 Columbia Street",1,6,N/A
"September 17, 2016","District of Columbia",Washington,"2600 block of Birney Place SE",2,7,N/A
"September 16, 2016",California,"Los Angeles (Hollywood)","555 N Heliotrope Drive",2,2,N/A
"September 16, 2016",Pennsylvania,Philadelphia,"5100 block of Sansom Street",2,5,N/A
"September 14, 2016",Texas,Houston,"16000 block of Saybrook",1,3,N/A
"September 13, 2016",Indiana,"Fort Wayne","1723 E Wayne St",3,2,N/A
"September 11, 2016",Louisiana,"New Orleans","2349 S Claiborne Ave",1,5,N/A
"September 11, 2016",Missouri,"Kansas City","500 block of Westport Road",0,6,N/A
"September 11, 2016",Indiana,"Fort Wayne","3006 Holton Avenue",3,1,N/A
"September 11, 2016",Michigan,Saginaw,"2207 Pierce Road",0,5,N/A
"September 11, 2016","North Carolina","New Bern","1100 block of Highway 70",0,5,N/A
"September 11, 2016","New Jersey","Jersey City","87 Van Wagenen Ave",1,3,N/A
"September 10, 2016",Florida,Miami,"3451 Northwest 36 Street",1,3,N/A
"September 8, 2016",Texas,"Del Valle","8330 Linden Rd",4,0,N/A
